Date,07332001-1,07335001-8,07335002-6,07335003-4,07336001-3,07350001-K,07350003-6,07354002-K,07355002-5,07357002-6,07358001-3,07359001-9,08104001-K,08105001-5,08106001-0,08114001-4,08117004-5,08117005-3,08123001-3,08124001-9,08124002-7,08130001-1,08130002-K,08132001-2,08134003-K,08135002-7,08141001-1,08144001-8,08376001-K,08380001-1,08383001-8
2005-11-01,9417599.999999998,43299360.0,6442848.000000001,62786880.00000001,4430591.999999999,101444399.99999999,86201280.00000003,198339840.00000003,73232640.0,122204159.99999999,64031039.99999999,344805120.0,176238720.00000003,345453120.0,449539200.0,31599935.999999996,20297991.91195204,12177215.999999998,65257919.99999999,63547200.0,37739519.99999999,5956416.0,25924319.999999996,40711680.0,10980575.999999998,135077760.0,667007999.9999999,0.0,22111488.0,173655359.99999997,178761600.0
2005-12-01,4486406.3999999985,32825952.000000004,5266771.199999998,34927200.0,2838671.9999999995,71370862.61956972,71426880.0,156255942.85714287,72489600.0,96612480.00000003,79583039.99999999,269576640.00000006,106945920.0,251363519.99999994,311074559.9999999,21696768.000000004,20497219.590963006,10224576.000000002,62959680.000000015,58180032.00000001,37527840.0,3401222.4,23869728.000000004,30487104.0,13104287.999999998,121754880.0,493499520.0,0.0,27223649.164799996,145543392.00000003,146015999.99999997
2006-01-01,4628793.600000001,18494783.999999996,3140726.4,27545184.00000001,1717459.1999999997,61238703.218193695,49593600.00000001,82952639.99999999,63383040.000000015,40122432.0,65413439.99999999,107360639.99999997,42237504.00000001,151640639.99999994,180290879.99999997,14012351.999999996,15558270.87354478,7394976.0,36711360.0,18334944.000000007,10149408.000000002,1853884.8,16030655.999999996,21072095.999999996,6159456.000000001,66147839.999999985,224423999.99999997,0.0,20725912.72653062,67806719.99999999,65776319.99999999
2006-02-01,2075673.6,5159808.000000001,3256416.0,7597152.000000002,1008460.8000000002,55534080.000000015,27907200.0,36312192.0,47272031.99999999,27668735.999999996,49973760.0,60471360.00000001,15584832.000000002,76809599.99999997,86495039.99999999,6016031.999999998,15769502.82230518,3130272.0000000005,34931519.99999999,8994240.0,6011712.0,1158969.5999999999,9265536.0,10388736.0,2975616.0,33739199.99999999,85959360.00000001,0.0,16146510.725484597,76937471.99999999,67169088.0
2006-03-01,2883859.1999999993,4898015.999999998,2148163.2,5938272.000000002,1045526.3999999999,47088000.00000001,17110656.0,17690400.000000004,47718719.99999999,48263040.0,45472320.00000001,75038400.00000001,11823839.999999996,58181760.00000001,63097919.999999985,4040668.8000000007,4992808.433100301,4011552.0000000005,47260800.0,33821280.0,18033408.0,1302480.0,6416064.0,12007872.0,4965408.000000001,11050207.405075155,126982080.0,0.0,25461962.265444085,165939839.9999999,142352640.0
2006-04-01,50881825.10240468,53195707.56536871,4728240.000000001,35165663.999999985,1818287.9999999998,46898783.99999999,39878784.00000001,37253951.99999999,34590240.0,126213120.00000001,45420480.000000015,208802879.99999997,29978208.000000007,47951999.99999999,120856320.0,25815456.0,12033949.090909092,19594656.0,51693119.99999999,62493120.00000001,38894688.0,1813190.4000000001,16302815.999999998,33526656.000000007,12285216.0,148316354.22622758,372781440.00000006,0.0,41403110.25422297,232899840.00000003,217252800.0
2006-05-01,187270075.6363636,71826540.9297865,8248521.6000000015,98549568.00000001,4418582.4,97816032.00000001,90909216.0,81196992.0,41983920.00000001,253843200.0,46517759.999999985,419316480.00000006,56052864.0,184128839.99999997,221253120.00000003,56952288.00000001,25308288.000000007,39376800.00000001,55063583.99999999,78157440.0,54227231.99999999,4667587.199999999,32725728.0,68336352.0,10817279.999999998,147778559.99999997,620386560.0,0.0,10897718.399999997,427989848.27586204,394934400.0
2006-06-01,512103600.0,593913600.0,36334656.0,340009920.0,69932159.99999999,417095999.99999994,366957415.3846155,374906880.00000006,156330432.0,1612719860.8695652,107136000.0,2275084800.0,239984640.0,502329600.0,799433280.0000001,289863360.0,89318591.99999996,213770879.9999999,251890559.99999997,378786240.00000006,313744319.99999994,26137728.000000004,152262720.0,383434560.00000006,164358720.00000003,867948480.0000001,2810764800.0000005,103603968.00000003,114327331.19999997,767059200.0,836179200.0
2006-07-01,730399680.0000001,773262719.9999999,41976647.731001936,383977753.0434783,209081087.99999997,520715520.0,383469120.0,535334400.0,207636480.00000003,2108027882.7954593,129422101.37076195,3218918400.0,273516480.00000006,584565119.9999999,870220800.0,456870354.602877,126489600.00000001,285750720.0,363237219.3103448,634016008.5786388,486734400.0,41710463.99999999,157559040.0,618701760.0,335335679.99999994,1349395200.0,3653898075.83406,286633440.0,132133977.7860872,906336000.0,1120780800.0
2006-08-01,242997840.00000006,484243074.7826087,28653576.92419765,170130278.58959448,101671086.10055324,302520959.99999994,188369280.00000003,336121920.0,119931839.99999999,1335993165.3364546,100845027.10535364,2041113600.0,137419200.0,287841600.00000006,465177600.0,403253759.2568201,63728640.000000015,158353920.00000003,113490457.05831687,451156498.42521095,317433599.99999994,27412991.999999996,92145600.0,447811200.0,156997440.0,914112000.0,2144170799.9999998,132649920.00000001,111157825.8848164,663292800.0,693100799.9999999
2006-09-01,179218285.7142857,219249838.65410325,11438409.62519207,158034240.0,19543680.0,231811199.99999997,163321920.0,224933759.99999988,76213440.00000001,1079538704.0124342,75981614.37598065,1207008000.0,147899520.0,299306880.0,463363200.0,123700754.92143631,47969280.00000001,91298879.99999999,188121599.99999997,263604205.1757062,214937280.00000003,27327456.0,76688639.99999999,302166720.0,39213503.99999999,520387200.0,1710460800.0,25031314.285714287,64350242.48090337,592444800.0,556588800.0
2006-10-01,120139200.00000001,67899257.18918243,6778610.147626827,131388480.00000003,9438336.0,208759680.00000003,156314879.99999997,236088000.0,70545599.99999999,484444800.0,42232795.047460884,944179200.0,172350720.00000003,345263040.0,508204800.0,91625953.4076106,40841280.00000001,71496000.00000003,155105279.99999997,193720836.99015513,152392320.0,19729440.000000004,64445760.00000001,220847040.00000003,26603423.999999993,367545600.0,1426464000.0,16920400.49160415,78272108.40203144,458524800.0,418262400.0
2006-11-01,16238793.600000005,31258347.900974598,2919628.167590197,60307199.99999998,3917203.200000002,112000320.0,94487039.99999999,154716480.0,49809600.0,158224320.0,58219856.479319796,358966080.0,140952960.00000003,290502720.0,374371200.0,41869201.407185785,23783328.000000004,29978207.999999996,65862720.00000002,83007451.762911,45932832.00000001,10712736.0,34146144.0,92067839.99999997,16490303.999999998,155943360.0,797212800.0,13180223.912985219,12453764.592811488,271952640.00000006,262051200.00000003
2006-12-01,6235920.0,42989183.99999999,3951014.0742480685,34983360.0,2093990.4000000004,75366720.0,62994240.0,110263680.0,59443200.00000001,111352320.00000001,39162505.8718153,262440000.0,94651200.0,237003840.00000003,271330560.00000006,39989375.99999999,24734592.000000007,12177216.0,63341183.99999999,66172809.6,38993184.0,5209056.0,27240191.999999996,39346560.0,10102751.999999998,103109759.99999999,501552000.0,1326840.4800000002,27223649.164799996,229141440.00000003,240243839.99999994
2007-01-01,1730073.5999999999,20406816.0,1766016.0,23523263.999999993,698630.4,63694079.999999985,43441919.99999999,68048639.99999999,56747519.99999999,94711679.99999994,191375999.99999997,154051200.00000003,47710080.00000001,143173439.99999994,159840000.00000003,22381055.999999996,18812784.0,5480351.999999999,43848000.0,39597120.0,13326336.0,3337631.9999999995,18624383.999999996,19812383.999999993,4614623.999999998,50216543.99999999,217598399.9999999,132011.68695652176,20725912.72653062,270060480.0000001,239785920.00000006
2007-02-01,5077382.4,16275168.000000004,5075049.599999999,21806496.000000007,442800.0,52142400.0,27667008.000000004,31860000.000000004,47586560.00000001,97675200.00000001,152003520.0,175815359.99999997,24434783.999999996,81976320.0,96837120.0,18492192.000000004,14454719.999999998,5399654.4,46828799.99999999,36875519.99999999,13408415.999999998,2725833.6,11959487.999999998,16102367.999999998,4478112.000000001,47364480.00000001,174476160.0,39010.7736677116,16146510.725484597,244455679.9999999,187859519.99999997
